Comment,Tag
9/7/2023,WAKTU
",",O
 ,O
9:37:27,WAKTU
 ,O
PM,WAKTU
 ,O
bogangin,WILAYAH
 ,O
9/7/2023,WAKTU
",",O
 ,O
9:38:18,WAKTU
 ,O
PM,WAKTU
 ,O
sambikerep,WILAYAH
 ,O
keruh,KELUHAN
 ,O
nih,O
 ,O
bosss,O
 ,O
9/7/2023,WAKTU
",",O
 ,O
9:49:03,WAKTU
 ,O
PM,WAKTU
 ,O
lidah,WILAYAH
 ,O
wetan,WILAYAH
 ,O
mana,O
 ,O
suaranya,O
 ,O
9/8/2023,WAKTU
",",O
 ,O
1:33:47,WAKTU
 ,O
AM,WAKTU
 ,O
lidah,WILAYAH
 ,O
wetan,WILAYAH
 ,O
sek,O
 ,O
keruh,KELUHAN
 ,O
9/8/2023,WAKTU
",",O
 ,O
8:00:07,WAKTU
 ,O
AM,WAKTU
 ,O
bulak,WILAYAH
 ,O
banteng,WILAYAH
 ,O
wetan,WILAYAH
 ,O
pakair,WILAYAH
 ,O
keruh,KELUHAN
 ,O
bau,KELUHAN
 ,O
gotsudah,O
 ,O
2mingguan,O
 ,O
begini,O
 ,O
terustolong,O
 ,O
ditindak,O
 ,O
lanjuti,O
 ,O
pakterima,O
 ,O
kasih,O
 ,O
9/8/2023,WAKTU
",",O
 ,O
8:44:10,WAKTU
 ,O
AM,WAKTU
 ,O
pdam,O
 ,O
gerak,O
 ,O
lambat,KELUHAN
 ,O
pengaduan,O
 ,O
tanggal,O
 ,O
5,WAKTU
 ,O
agustus,WAKTU
 ,O
enggak,O
 ,O
respon,O
 ,O
sama,O
 ,O
sekali,O
 ,O
kata,O
 ,O
petugas,O
 ,O
nya,O
 ,O
meteran,O
 ,O
mati,O
 ,O
laporan,O
 ,O
2x,O
 ,O
mana,O
 ,O
tanggapan,O
 ,O
hee,O
 ,O
jangan,O
 ,O
mengaku,O
 ,O
pdam,O
 ,O
gerak,O
 ,O
cepat,O
 ,O
9/8/2023,WAKTU
",",O
 ,O
11:13:49,WAKTU
 ,O
AM,WAKTU
 ,O
kak,O
 ,O
barusan,O
 ,O
selesai,O
 ,O
9/8/2023,WAKTU
",",O
 ,O
4:46:03,WAKTU
 ,O
PM,WAKTU
 ,O
kebraon,WILAYAH
 ,O
9/8/2023,WAKTU
",",O
 ,O
4:46:25,WAKTU
 ,O
PM,WAKTU
 ,O
kebraon,WILAYAH
 ,O
mengalir,O
 ,O
3,O
 ,O
hari,O
 ,O
9/8/2023,WAKTU
",",O
 ,O
6:05:29,WAKTU
 ,O
PM,WAKTU
 ,O
bulak,WILAYAH
 ,O
banteng,WILAYAH
 ,O
air,O
 ,O
keruh,KELUHAN
 ,O
bau,KELUHAN
 ,O
air,O
 ,O
